Aaron,2|13;6|22;10|27;7|1
Abachuch,1|15
Abbanus,3|16;10|27
Abbo,4|15;12|3
Abbon,11|13
Abel,8|5
Ablebertus,1|15
Abraham,10|6
Abrahamus,6|15
Abrunculus,5|14;4|22
Abseodus,7|29
Abundancia,12|26
Abundius,4|2
Abundus,8|26;2|27;12|10;8|27;7|11
Acca,10|20
Achacius,6|22;6|23;6|7
Acharius,11|27
Acheolus,5|2;5|1
Achilles,5|12
Achilleus,4|23;5|18
Achius,5|1;5|2
Acisclus,11|17
Acontius,9|5;7|25
Actinea,6|16
Adalbero,10|6;12|14
Adalbert,6|3
Adaldagus,4|28
Adalferius,4|12
Adalgarus,5|9
Adalgisus,10|6;6|2;10|7
Adalgotus,10|3;1|17;11|1
Adalhardus,12|26;1|2;4|20;2|9
Adalheidis,12|17;12|16;2|5
Adalpretus,3|8;3|27
Adalsindis,12|25;12|24
Adam,6|3
Adamnanus,12|27;1|31;9|23
Adegrinus,7|2
Adelaide,6|27
Adelaidis,5|23
Adelarius,4|20
Adelesmus,1|30
Adelindis,8|21;8|28
Adelphius,9|1
Adeltrudis,11|14
Adeodatus,7|2;6|26;6|27
Aderaldus,10|20
Aderitus,9|27
Adfridus,10|26
Adilia,6|30
Adjutor,11|19;4|30;12|16;6|26
Adolph,6|12
Adonis,12|16
Adorator,3|3
Adrian,9|10;6|17;9|8;9|9;1|9;9|18;3|1;3|4;9|7;9|6;7|22;11|14;7|21
Adventor,11|20
Aelredus,1|12
Aengussius,3|11
Aerchus,4|16;11|2
Aetius,4|4;8|14
Africanus,5|1;1|15;2|8
Afrodisius,3|22
Afronia,7|15
Afrus,8|5
Agabius,9|10;8|4
Agapa,2|15
Agape,8|8
Agapitus,4|17;9|20;8|18;3|16;4|20;4|22;8|17
Agatha,2|5
Agatho,1|10;6|27
Agatimbrus,5|11
Agentus,1|11
Agericus,12|1;4|11
Agilberta,8|11
Agilbertus,10|11
Agilofus,7|9
Agilolfus,3|31
Agilus,8|30
Aglibertus,6|24;3|6
Agnellus,12|14;7|30
Agnes,8|28;9|2;1|21;1|27;1|28;5|13
Agnis,3|6
Agnus,8|19
Ago,8|18
Agoardus,6|24
Agobardus,6|6
Agratus,10|14
Agricola,11|4;12|2;2|5;4|28;11|27;3|17;10|20
Agricolus,9|2;2|26;8|28
Agrippanus,2|1
Agrippina,6|23;5|24
Agrippinus,11|9;6|17;1|1
Agritius,6|13
Aibertus,4|7
Aibeus,9|12
Aidanus,8|31;11|2
Aidus,11|10
Aigulphus,5|22
Aimo,10|23
Airaldus,1|2;3|11
Alan,12|27;11|25;7|16
Alaricus,9|29
Alban,6|30;3|1;10|23;9|6;10|25;3|2;9|15;6|22;6|21
Albericus,1|2;11|14;1|26;8|5;8|29;10|28
Albert,5|20;8|14;7|4;7|8;8|7;5|7;4|8;9|1;9|14;11|23;11|24;12|29;2|1;4|5;8|15;1|7;10|25
Albertinus,8|31
Albina,3|31;9|23
Albuinus,2|5;5|13
Alchas,9|28
Alchmundus,9|7
Alcuin,5|19
Alda,4|26
Aldabertus,6|20
Aldegrinus,6|4
Aldegund,1|30
Aldegundis,5|26;6|20;11|13
Aldegundus,6|6
Aldelmus,5|5
Aldemarus,7|4
Aldericus,6|15;10|10;1|7;6|6;2|6
Aldobrandus,5|1;8|22
Aldus,1|10
Aleid,6|11
Alena,6|17;6|19
Alethius,7|11;10|25
Alexander,6|4;9|17;8|15;11|15;8|26;10|27;11|26;9|21;11|14;7|10;6|6
Alexandrus,5|4;5|31;10|5;3|10;12|17;2|4;4|24;3|28;5|29;2|26;2|9;3|19;1|11;4|28;5|3;3|20;5|13;10|1;3|18
Alexis,7|20;6|17;7|16;4|6;7|17;6|21
Alfardus,2|15
Alfricus,8|28;11|16
Alfwoldus,3|25
Allemannus,4|4
Allocus,12|23
Allucius,10|23
Almarus,11|7
Almedha,8|1
Almerius,5|16
Almirus,9|11
Alnotus,10|29;11|25;2|27;10|30
Alodia,10|22;10|21
Alodius,9|28
Alorus,10|27;10|26
Alpertus,9|5
Alphius,5|10
Alpidis,11|3
Alpinianus,4|26;4|27
Alpinus,9|7
Altfridus,8|1
Altigianus,8|23
Altinus,3|16
Altmannus,8|8
Alto,2|9
Alvarius,1|2
Alvera,8|24;3|9
Alveus,9|11
Ama,9|24
Amabilis,6|11;11|1;10|19
Amadeus,1|28;8|10;8|27;3|30
Amalberga,9|26;12|12;7|10;10|22
Amandinus,11|7
Amandus,6|16;4|13;1|17;5|16;6|18;9|20;10|10;10|26;11|13;11|18;2|12;7|15;2|7;2|6;10|27
Amantius,4|6;5|16;4|8;9|26;2|10;2|7;2|6;6|10;11|4
Amaranthus,10|11;11|7
Amarinus,1|25
Amasius,1|21;7|23;1|23
Amatius,8|31
Amator,11|26;8|20;5|1;4|30
Amatus,10|19;4|29;5|8;9|13
Ambertus,9|30
Ambrose,8|27;4|4;9|3;10|16;11|2;11|20;11|30;12|7;12|16;8|28;2|21;4|3;5|2;8|16
Ambrosinianus,9|1
Amelius,10|12
Ameltrudis,8|30
Amicus,11|2;7|14;10|12
Ammonius,1|19
Amnnichadus,1|30
Amor,8|17;8|9;10|8
Ampelius,7|8;5|14;10|4;2|8
Amulwinus,2|7
Anacetus,9|12
Anacletus,4|26;7|12;7|20;7|13
Ananus,1|16
Anastasia,12|2;12|25;12|19;10|28;4|15;1|15;7|5;12|9
Anastasius,9|7;8|26;8|21;8|17;5|28;5|20;4|27;1|23;1|22;1|7;5|30;5|12;6|29;4|18;12|20;12|19;10|16;10|13;9|12;10|11;5|11;1|11
Anatalo,9|25
Anatolia,7|9;7|10
Anatolius,9|24;10|21;1|30;2|3
Andeolus,8|3;8|12;5|1;5|2
Andochius,9|28;9|24
Andrea,2|28;1|13;2|1;2|6;4|22;4|18;2|26;1|19
Andrew,11|30;4|11;5|11;5|22;5|9;12|10;8|25;11|29;12|7
Angadrisma,10|14;3|27
Angelbertus,10|18;2|18
Angelemus,7|7
Angelina,6|29
Angelinus,10|28
Angelramnus,10|28;12|9;9|9
Angelus,6|15;5|5;5|8;7|5;8|19;2|6;2|14;4|12
Anianus,6|14;12|7;9|5;4|25;11|17;6|10;10|16;11|16
Anicetus,8|12;9|2;4|17;4|16
Ann,7|19;7|27;7|28;7|20;9|16;8|16;8|4;9|9;7|31;8|2;7|26;7|24;8|13
Annarius,11|1
Annemundus,9|28
